Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","1995","1995","kt","390.884087","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","1996","1996","kt","344.061372","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","1997","1997","kt","509.727444","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","1998","1998","kt","509.011421","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","1999","1999","kt","549.720062","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2000","2000","kt","323.723188","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2001","2001","kt","402.769508","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2002","2002","kt","358.534923","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2003","2003","kt","294.583972","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2004","2004","kt","360.478605","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2005","2005","kt","608.870799","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2006","2006","kt","1354.078969","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2007","2007","kt","2015.52483","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2008","2008","kt","2734.410861","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2009","2009","kt","5371.589832","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2010","2010","kt","5082.508219","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2011","2011","kt","5582.045641","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2012","2012","kt","5293.426989","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2013","2013","kt","5911.71262","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2014","2014","kt","7944.695043","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2015","2015","kt","8362.327572","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2016","2016","kt","8972.150729","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2017","2017","kt","9388.086985","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2018","2018","kt","8739.965548","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2019","2019","kt","9172.064006","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2020","2020","kt","9390.55991","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2021","2021","kt","9983.007786","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2022","2022","kt","12150.411195","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6507","Food Processing","2023","2023","kt","12181.679133","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","1990","1990","kt","11610.049282","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","1991","1991","kt","11938.716664","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","1992","1992","kt","12709.207726","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","1993","1993","kt","12240.535157","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","1994","1994","kt","13012.460001","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","1995","1995","kt","14009.820893","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","1996","1996","kt","14169.115233","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","1997","1997","kt","14893.15329","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","1998","1998","kt","14906.705207","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","1999","1999","kt","15970.331269","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2000","2000","kt","17454.479152","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2001","2001","kt","17769.097283","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2002","2002","kt","18532.334668","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2003","2003","kt","19647.224166","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2004","2004","kt","20527.695781","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2005","2005","kt","20704.598542","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2006","2006","kt","21969.815108","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2007","2007","kt","23232.471351","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2008","2008","kt","25160.266534","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2009","2009","kt","26442.813497","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2010","2010","kt","28258.94766","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2011","2011","kt","29270.67806","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2012","2012","kt","31840.051713","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2013","2013","kt","34630.462766","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2014","2014","kt","36413.143976","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2015","2015","kt","36650.837714","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2016","2016","kt","36142.986029","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2017","2017","kt","37713.22518","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2018","2018","kt","39564.024487","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2019","2019","kt","40293.562373","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2020","2020","kt","35533.832927","E","Estimated value"
